Key,Status,Applied On,Notes,Bucket,Title,Employer,Location,Drive time,Requirement evidence,Posted,First seen,Last seen,URL
Sutter Health::R-127668,unapplied,,,Requirements unclear,"Registered Nurse II, Medical Surgical/Telemetry Float",Sutter Health,Castro Valley,<30,Minimum 2 year current experience in Med/Tele Required LICENSURES AND CERTIFICATIONS Registere,2026-07-24,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Registered-Nurse-II--Medical-Surgical-Telemetry-Float_R-127668-1
Sutter Health::R-135110,unapplied,,,Requirements unclear,"Staff Nurse II, Neurosciences/Stepdown",Sutter Health,Castro Valley,<30,Minimum two year current experience in Step Down,2026-07-24,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Neurosciences-Stepdown_R-135110-1
Sutter Health::R-139828,closed,,,"Experience required, not acute","Registered Nurse Specialist II, Cardiac Cath",Sutter Health,Burlingame,30-60,2 years of recent relevant Cardiac Cath Lab experience,2026-09-01,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Burlingame/Registered-Nurse-Specialist-II--Cardiac-Cath_R-139828-1
Sutter Health::R-139275,unapplied,,,"Experience required, not acute","Registered Nurse, Birthing Center",Sutter Health,Tracy,30-60,2 years of recent relevant experience,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Tracy/Registered-Nurse--Birthing-Center_R-139275
Sutter Health::R-131435,unapplied,,,Requirements unclear,"Registered Nurse II, Urgent Care",Sutter Health,Palo Alto,30-60,One year of clinical experience Recent experience is strongly preferred SKILLS AND KNOWL,2026-08-25,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Palo-Alto/Registered-Nurse-II--Urgent-Care_R-131435-1
Sutter Health::R-138620,unapplied,,,"Experience required, not acute","Registered Nurse II, Endoscopy",Sutter Health,Tracy,30-60,2 years of recent relevant experience,2026-08-25,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Tracy/Registered-Nurse-II--Endoscopy_R-138620
Sutter Health::R-138642,unapplied,,,"Experience required, not acute","Registered Nurse IV, Oncology Hematology",Sutter Health,Fremont,30-60,Job Description : EDUCATION Graduate of an accredited school of nursing CERTIFICATION & LICENSURE: RN-Registered Nurse of California BLS-Basic Life Support Healthcare Provider ONS-Oncology Nursing Soc,2026-08-24,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Fremont/Registered-Nurse-IV--Oncology-Hematology_R-138642-1
Sutter Health::R-138435,unapplied,,,"Experience required, not acute","Staff Nurse II, Med Surg",Sutter Health,Novato,30-60,2 years of recent relevant experience,2026-08-24,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Novato/Staff-Nurse-II--Med-Surg_R-138435-1
Sutter Health::R-127457,unapplied,,,"Experience required, not acute","Staff Nurse II, Med Surg",Sutter Health,Novato,30-60,2 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Novato/Staff-Nurse-II--Med-Surg_R-127457-1
Sutter Health::R-135111,closed,,,"Experience required, not acute","Staff Nurse II, Critical Care Unit",Sutter Health,Vallejo,30-60,2 years of recent relevant experience,2026-08-07,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Vallejo/Staff-Nurse-II--Critical-Care-Unit_R-135111-1
